RuleName,Description,Severity,Query Frequency,Query Period,Req. modification,Rule ID,Type Of Rule,SOC Status,Scope,LastUpdate
MDXR-010 - Sysinternals Tools Executed with DLL Load from Network,"The rule evaluates DeviceEvents from Microsoft Defender for Endpoint (MDE) to identify instances where Sysinternals tools are executed from network locations and subsequently load DLL files. Such behavior may indicate an attempt to exploit known vulnerabilities within these tools. Attackers can leverage Sysinternals tools executed from network shares to perform unauthorized actions, including privilege escalation or system compromise. By placing malicious DLLs in the same network directory as the Sysinternals executable, attackers can achieve code execution when the tool is run. Alert Records: - Time: When the Sysinternals tool execution occurred. - Device: The endpoint's name, type (server or workstation), OS, and IP address. - Initiator: The user or process responsible for executing the tool, including their account name and security identifier (SID). - File Details: The name and path of the executed Sysinternals tool and the loaded DLL. Monitoring the execution of Sysinternals tools from network locations is essential for detecting potential exploitation attempts, ensuring system integrity, and maintaining secure configurations across the organization’s systems. Ref: https://www.foto-video-it.de/2025/allgemein/disclosure-sysinternals/",Medium,PT30M,PT23H,No.,mde239f7-r2d2-0602-2025-599b50mk1088,Custom,Approved,MDXDR,
MDXR-011 - Suspicious FileFix Pattern via Browser on Windows Endpoints,"The rule evaluates audit events from the DeviceProcessEvents table to detect suspicious command-line activity triggered by internet browsers on Windows endpoints. It focuses on identifying execution patterns consistent with the FileFix technique, a social engineering method where malicious files are designed to launch trusted Windows utilities via browser interaction. The detection targets cases where browsers such as Chrome, Edge, or Firefox initiate execution of potentially dangerous system tools like PowerShell, regsvr32, certutil, or bitsadmin. These tools can be abused to download and execute malicious content, establish persistence, or conduct reconnaissance without requiring explicit user interaction. Alert Records: - Time: When the suspicious process was launched. - Device: Endpoint name, type (server or workstation), OS, and IP address. - Initiator: User or process that launched the browser, including domain, username, and SID. - Process Info: Name of the browser and the system utility that was executed. By correlating the browser as the parent process of suspicious command-line tools, this rule provides visibility into a stealthy and increasingly common execution method exploited by attackers. Reference: https://mrd0x.com/filefix-clickfix-alternative",Medium,PT10M,PT47H,No.,mdx35a11-c3p0-2506-2025-edb620mk1088,Custom,Approved,MDXDR,
MDXR-012 - Device Code Authentication Phishing Detection,"The rule detects key phases of a phishing attack leveraging the Device Code Authentication flow, a method intended for input constrained devices such as smart TVs, printers, or IoT endpoints. Although legitimate, this flow is increasingly abused by attackers to bypass traditional MFA and steal tokens for persistent access. Device Code Phishing campaigns typically follow this pattern: - An email containing a Microsoft device authentication URL is sent to the target (https://microsoft.com/devicelogin or https://login.microsoftonline.com/.../deviceauth) - The victim clicks the link and unknowingly authorizes the attacker's device - The attacker polls Azure AD using the device_code and receives access and refresh tokens after successful user sign-in This rule detects these three stages via distinct alert types: - Device Code Auth URL in Email – a phishing email containing the device auth URL was delivered - Device Code Auth URL Clicked from Email – the user clicked the malicious URL - Successful Sign-in via Device Code Authentication – sign-in completed via deviceCode protocol Each alert can be raised independently, but together they may indicate a high-confidence, multi-step compromise. If all three are observed in sequence, immediate investigation is strongly recommended. The attacker may retain access even if the user resets their password, due to possession of a valid refresh_token. This attack chain is difficult to detect through traditional means, as all user interactions occur via legitimate Microsoft infrastructure.",Medium / Low,PT1H,P14D,req MDE and MDO.,mdx35a12-c3p0-2907-2025-edb622mk1088,Custom,Approved,MDXDR,
MDXR-013 - Potential Phishing and Malware Delivery via SVG and ZIP Files,"This rule evaluates DeviceFileEvents from Microsoft Defender for Endpoint (MDE) and email telemetry from EmailEvents and EmailAttachmentInfo to detect a suspicious activity chain involving SVG and ZIP files on Windows endpoints. The rule identifies cases where a user saves an SVG file from Outlook and, within 15 minutes, a ZIP file is created by a web browser on the same device and under the same user identity. To improve context, the rule enriches the detection with details from the associated email message, including sender, recipient, subject, and message ID. Attackers may exploit malicious SVG attachments in phishing campaigns, using them to redirect users to credential-harvesting portals or to initiate downloads of password-protected ZIP files carrying malware. By correlating email and endpoint activity, this rule highlights phishing attempts that progress into malware delivery. Alert records: - Times: Creation timestamps of the SVG and ZIP files, including the time difference. - Files & Processes: Names, paths, initiating processes, and hashes of the SVG and ZIP files. - User & Device: UserPrincipalName, DeviceName, and DeviceId. - Email context: Sender address, recipient address, subject, and NetworkMessageId. Monitoring this activity is critical because it connects suspicious email attachments with subsequent endpoint behavior, helping to detect phishing campaigns that attempt to deliver malware.",Medium,PT1H,P7D,req MDE (DeviceFileEvents) and MDO.,mdx35a13-r2d2-0809-2025-ph1s01mk1088,Custom,Approved,MDXDR,
MDXR-014 - Possible Email Spoofing,"This rule evaluates audit events from the EmailEvents table in Microsoft Defender for Office 365 to identify possible spoofed emails. It focuses on inbound messages where the sender's display domain (SenderFromDomain) differs from the envelope domain (SenderMailFromDomain), and where composite authentication mechanisms (SPF, DKIM, DMARC) fail. To reduce false positives, the rule filters out internal email communications, trusted contacts, user-level overrides, and sender domains that have recently sent legitimate emails. It further excludes known bounce messages and empty reverse-path messages. The logic identifies potentially spoofed emails by combining mismatched domain headers with failed authentication, ensuring the sender’s identity cannot be validated. These conditions strongly indicate an attempt to bypass security mechanisms and impersonate a trusted identity. Alert records: -Time: When the suspicious email was received. - Sender: Original email address and spoofed domain used. - Recipient: Email address of the intended recipient. - Mail Server IP: Source IP of the mail server. - Authentication Details: Composite results for SPF, DKIM, DMARC. - Subject: Subject line of the email. - Attachments and URLs: Summary of any files or links in the email. Monitoring this activity is critical for detecting phishing and brand impersonation attempts and for protecting users from fraudulent or malicious messages.",Medium,PT1H,P14D,req MDO + UEBA.,mdx356a3-c3p0-0910-2025-sp00f1mk1088,Custom,Approved,MDXDR,
MDXR-015 - Shuyal Stealer Malware Activity,"This rule evaluates audit events from the DeviceFileEvents and DeviceNetworkEvents tables to identify suspicious activity patterns associated with the Shuyal Stealer malware on Windows endpoints. The rule correlates three distinct behaviors observed on the same host: - Persistence: Creation of an executable file (e.g., host.exe) in the Startup folder, which may allow the malware to execute automatically upon user logon. - Data Staging: Creation of ZIP archive files (e.g., runtime.zip) in the temporary directory, commonly used to package stolen data before exfiltration. - Exfiltration: Outbound communication to the Telegram API domain (api.telegram.org), a known method used by Shuyal Stealer to exfiltrate credentials, browser data, and tokens. When these three indicators are detected together on a single host, it strongly suggests an active compromise involving Shuyal Stealer or similar infostealer malware. Alert records: - Device: The name and hostname of the affected system. - Startup File: The name, path, and timestamp of the file created in the Startup folder, including the initiating process. - Compressed File: The name, path, and creation time of the ZIP file in the temporary folder, including the initiating process. - Network Activity: The Telegram URL or IP contacted, timestamp, and the initiating process that established the connection. Monitoring this combination of persistence, data staging, and suspicious exfiltration methods is critical for identifying modern malware infections early. The Shuyal Stealer malware uses stealthy techniques to remain undetected while stealing sensitive data and exfiltrating it via encrypted messaging infrastructure.",Medium,PT1H,PT1H,req MDE.,mdx356b4-r2d2-1010-2025-mal0f1mk1088,Custom,Approved,MDXDR,
MDXR-016 - Lateral Pass-the-Hash Activity on Workstations,"The rule evaluates audit events from the DeviceLogonEvents table to identify successful NTLM-based logons between two Windows workstations. It focuses on scenarios where lateral movement may occur across endpoints using Pass-the-Hash (PtH) techniques. The detection logic filters for successful NTLM logons in workstation-to-workstation contexts, excluding virtual desktop environments. This activity often indicates that an attacker is using stolen credential hashes to authenticate on another system without knowing the actual password, bypassing normal security controls. Alert records: Time: When the NTLM logon occurred. - Source: The originating workstation’s name and operating system. - Target: The destination workstation’s name and operating system. - Account: The username involved in the logon. - Logon Type: Describes the type of logon session established (e.g., network, interactive). Monitoring NTLM authentication across workstations helps identify lateral movement attempts, which are frequently part of post-compromise activity. This detection supports early discovery of credential abuse and limits the spread of unauthorized access within the organization.",Medium,PT1H,P14D,req MDE.,pth8f237-r2d2-2310-2025-t2wks0mk1088,Custom,Approved,MDXDR,
MDXR-017 - LDAP Reconnaissance Activity,"The rule evaluates DeviceEvents from Microsoft Defender for Endpoint (MDE) to identify signs of suspicious Active Directory data collection activity using LDAP queries. The rule focuses on LDAP searches that match patterns commonly used by known reconnaissance tools such as SharpHound, AdFind, PowerView, Metasploit, and others. Attackers may use these tools to enumerate users, computers, group memberships, or account attributes in preparation for lateral movement or privilege escalation. The detection relies on a watchlist of known LDAP search filters and excludes system processes or known benign applications to reduce false positives. Alert records: - Time: When the LDAP query was executed. - Device: The endpoint’s hostname and Device ID where the activity was observed. - Initiator: The process name, command line, folder path, and the user context (domain, username, UPN, SID). - LDAP Filter & Tool: The suspicious LDAP filter used and the associated reconnaissance tool inferred (e.g., SharpHound, ADRecon). Detecting unauthorized directory enumeration is crucial for early warning of compromise. Reconnaissance is typically an initial step in targeted attacks and must be addressed proactively to limit the adversary’s knowledge of the environment.",Medium,PT1H,PT1H,req MDE.,re0gn237-r2d2-0511-2025-t2at10mk1088,Custom,Approved,MDXDR,
MDXR-018 - Mustang Panda PlugX Delivery via HTML Smuggling,"This rule evaluates audit events from Microsoft Defender for Endpoint (MDE) across multiple data sources to detect a specific attack chain associated with the Mustang Panda threat actor using PlugX malware. The detection correlates multiple behaviors commonly linked with this technique: An MSI file written to disk by a browser process, indicating possible HTML smuggling. Execution of known sideloading executables (e.g., gup.exe, robotaskbaricon.exe) via msiexec.exe. Loading of malicious DLLs (libcurl.dll, RoboForm.dll) from the same directory as the sideloading executable. Creation of persistence via registry Run keys from the same process. Attackers like Mustang Panda leverage HTML smuggling to deliver MSI installers that execute sideloading binaries and load malicious DLLs. They often establish persistence by modifying registry keys. This complex behavior chain combines techniques for Initial Access, Execution, Persistence, and Defense Evasion. Alert Records: - Time: Timestamp of the DLL load (execution phase). - Device: Name and ID of the endpoint where the chain was observed. - Dropping Process: Browser used to drop the MSI file. - MSI File: The suspicious installer involved in the attack. - Sideloaded Executable and DLL: Files used in the side-loading technique. - Persistence Registry Key and Value: The registry key path and value written for persistence. Monitoring this behavior is critical because it represents a sophisticated, multi-stage intrusion technique that can lead to full system compromise.",Medium,PT1H,PT1H,req MDE.,panda237-r2d2-1712-2025-t2at10mk1088,Custom,Approved,MDXDR,
MDXR-019 - Active Vulnerabilities Detection,"This rule evaluates vulnerability assessment data from the MDETVM_CL table (streamed via Microsoft Defender for Endpoint TVM API), enriched with DeviceInfo and correlated with SecurityAlert records, to identify active and exploitable critical vulnerabilities in environment. The rule focuses on vulnerabilities that meet the following criteria (configurable): - Severity level is Critical. - The vulnerability has a known exploitability level (not marked as NoExploit). - A security update is available. Attackers actively scan for and exploit publicly known critical vulnerabilities, especially when exploit code is available. If security updates are not applied in a timely manner, adversaries may leverage these weaknesses for initial access, privilege escalation, lateral movement, or remote code execution. Alert records: - FirstSeenTimestamp: When the vulnerability was first observed on the device. - LastSeenTimestamp: When the vulnerability was last observed. - DeviceName / DeviceId: The affected endpoint identifier. - Vulnerability: The vulnerable software (vendor and product name). - CveId: Associated CVE identifiers including CVSS score. - Severity: Vulnerability severity level. - ExploitabilityLevel: Exploit availability classification. - OSPlatform / OSVersion: Operating system details of the affected endpoint. Monitoring active and exploitable critical vulnerabilities is essential because these weaknesses represent immediate risk to the organization. Systems with known exploitable CVEs and available patches are prime targets for automated attacks and opportunistic threat actors. Early identification enables prioritization of remediation efforts and reduces exposure to compromise.",Medium,PT1H,P14D,watchlist (ReportedMDEvulnerabilities). optionaly PB (SOC_PB_Report_Vulnerability_To_Watchlist). criticality / expoitable. DeviceName regex.,mdx356b4-r2d2-1802-2026-vulns1mk1088,Custom,NO,MDXDR,
ADDS-006 - Active Directory Database Extraction Activity,"This rule evaluates Windows Security Events (Event ID 4688) and DeviceProcessEvents from Microsoft Defender for Endpoint (MDE) to identify suspicious process executions associated with Active Directory database extraction activity. The rule detects command-line patterns and tools commonly used to access, copy, or extract NTDS.dit and related credential material, including NTDSUtil IFM operations, Esentutl access to NTDS paths, direct NTDS.dit file copy or archival activity, shadow copy based NTDS access, registry hive export on Domain Controllers, DiskShadow activity with NTDS context, and Impacket or secretsdump execution patterns. Alert records: - Time when the suspicious process execution was observed. - Host where the activity occurred. - Whether the host is identified as a known Domain Controller. - Account associated with the suspicious process execution. - Process name or process path related to the detected activity. - Classified Active Directory database extraction technique identified by the rule. - Source telemetry table where the activity was observed. Attackers may attempt to extract NTDS.dit and related registry hives to obtain Active Directory credential material, including password hashes and other sensitive authentication data. Successful extraction may enable offline credential extraction, password cracking, privilege escalation, lateral movement, persistence, or full domain compromise.",High / Medium,PT15M,PT15M,Security Event ID (4688) MDE (DeviceProcessEvents).,666ad563-c3p0-1305-2026-dump14mk1088,Custom,Approved,MDXDR,
ADDS-010 - Local User Account Created on Windows Endpoint,"This rule evaluates DeviceEvents from Microsoft Defender for Endpoint (MDE) and Windows Security Event logs (Event ID 4720) to detect the creation of local user accounts on Windows endpoints (both servers and workstations). Attackers or malicious insiders may exploit legitimate administrative tools or escalate privileges to create unauthorized local accounts. Such accounts can be used for persistence, bypassing detection, or further system compromise. Monitoring this activity aligns with the MITRE ATT&CK technique T1136 - Create Account and is critical for identifying security threats and reducing risks. Alert Records: - Time: When the account creation occurred. - Device: The endpoint's name, type (server or workstation), OS, and IP address. - Initiator: The user or process responsible for creating the account, including their domain, username, and security identifier (SID). - Target: Details of the newly created account, including its username and SID. Monitoring local account creation is critical for detecting potential threats, ensuring accountability, and maintaining secure configurations across the organization’s systems.",Low,PT30M,PT47H,req Event ID 4720 and DeviceEvents (MDE).,win0endp-c3p0-1806-2024-20c9a0mk1088,Custom,Approved,MDXDR,
ADDS-011 - Member Added to Local Group on Windows Endpoint,"The rule evaluates DeviceEvents from Microsoft Defender for Endpoint (MDE) and Windows Security Event logs to detect when a user account is added to a local group on Windows endpoints (both servers and workstations). Adding accounts to local groups is a critical operation that can indicate misconfigurations or malicious activity. Monitoring this behavior aligns with the MITRE ATT&CK technique T1136 - Create Account and T1078 - Valid Accounts, focusing on detecting unauthorized changes in group memberships that could lead to privilege escalation or unauthorized access. - Local groups manage access control on individual devices, and unauthorized changes can lead to policy violations or security breaches. - Adversaries may use such changes to gain elevated privileges, bypass authentication mechanisms, or establish persistence. - Tracking these events improves security monitoring and ensures adherence to organizational access control policies. Alert Records: - Time: When the account addition occurred. - Device: The endpoint's name, type (server or workstation), OS, and IP address. - Initiator: The user or process that performed the action, including their domain, username, and security identifier (SID). - Target: Details of the group and the account added to it, including group name, group SID, target username, and SID. By proactively detecting changes in local group memberships, this rule helps organizations mitigate risks associated with unauthorized privilege escalation and enhance their overall security posture.",Medium,PT10M,PT47H,req Event ID 4798 - A user's local group membership was enumerated to work OK and DeviceEvents (MDE).,win6sec7-c3p0-2506-2024-cfbf00mk1088,Custom,Approved,MDXDR,
ADDS-047 - Pass The Hash Activity via NTLM Authentication,"The rule evaluates SecurityEvent logs (Event ID 4624) and Microsoft Defender for Endpoint (MDE) DeviceLogonEvents to identify potential Pass-the-Hash (PtH) activity. It correlates interactive or RDP logons on a source device with subsequent NTLM network logons (LogonType 3) from the same device within a defined correlation window (default 8h). Suspicious behavior is identified when a user (User A) successfully logs on interactively/RDP to a device (SourceHost) and, within the correlation window, the same device initiates an NTLM network logon to a different device (TargetHost) under a different account (User B). This mismatch between the locally authenticated user and the account used for network authentication strongly suggests the use of stolen password hashes. Such behavior may indicate that an attacker has obtained password hashes from a compromised host and is reusing them to authenticate against other systems, enabling lateral movement without needing the plaintext password. Alert records: - Time: When the NTLM authentication occurred. - Source Host: The device from which the NTLM logon originated. - Source IP: IP address of the source host. - Authenticated Account: Account used for the interactive/RDP logon on the source device. - Target Host: The device receiving the NTLM logon. - Target Account: The account being authenticated against on the target device. - Logon Types: Details of both the interactive/RDP logon and the NTLM network logon observed. Monitoring this activity aligns with the MITRE ATT&CK technique T1550.002 – Use Alternate Authentication Material: Pass the Hash and is critical for detecting lateral movement and compromised account usage in Windows environments.",Medium,PT1H,PT8H,NO.,win6sec8-r2d2-1109-2025-pth000mk1088,Custom,Approved,MDXDR,
ADDS-050 - LSASS Credential Dumping Activity on Windows Endpoint,"TThis rule evaluates Windows Security Events (Event ID 4688) and DeviceProcessEvents from Microsoft Defender for Endpoint (MDE) to identify suspicious process executions associated with LSASS credential dumping activity on Windows endpoints. The rule detects known tools and command-line patterns commonly used to access or dump LSASS memory, including Mimikatz, SafetyKatz, ProcDump, NanoDump, PPLDump, LSASSY, PyPyKatz, PowerSploit Out-Minidump, Task Manager dump activity, and rundll32 execution of comsvcs.dll MiniDump functionality. Alert records: - Time when the suspicious process execution was observed. - Windows endpoint where the activity occurred. - Account associated with the suspicious process execution. - Process name, process path, and command line related to the detected activity. - Classified LSASS dumping technique or tool identified by the rule. - Process hash, where available. Attackers may attempt to dump LSASS memory to extract credentials, password hashes, Kerberos tickets, or other authentication material that could be used for privilege escalation, lateral movement, or further compromise.",High,PT15M,PT15M,Security Event ID (4688) MDE (DeviceProcessEvents).,666ad562-c3p0-1105-2026-dump14mk1088,Custom,Approved,MDXDR,
CloudApps - Sensitivity Label Downgraded or Removed from file,The rule detects user activity of Sensitivity Label.,Medium,PT1H,PT1H,NO.,mip3b965-c3p0-2610-2022-bd0de3mk1088,Custom,No,MPIP,
CloudApp - New Sensitivity Label or Label Policy created,The rule detects the creation of a new Sensitivity label or label policy in Microsoft Purview Information Protection. Verify that this is a legitimate operation. The label can affect the organization's data handling.,Informational,PT2H,PT2H,NO.,mip2b72d-r2d2-2610-2022-a98440mk1088,Custom,No,MPIP,
Logon of several accounts to MS VPN failed,Identifies if several accounts failed authenticate to Microsoft VPN in short time period. Failed attempts on several accounts can be an indication of a password spray attempt.,Medium,PT1H,PT1H2M,Threshold.,msvpn02d-r2d2-2022-9aa7-129e57mk1088,Custom,,MsVPN,
Multiple logons of account to MS VPN failed,Identifies accounts who have failed to authenticate multiple times in a row to Microsoft VPN. Multiple failed attempts can be an indication of a brute force attempt.,Medium,PT30M,PT31M,Threshold.,msvpn01a-c3p0-2022-a5bd-7af303mk1088,Custom,,MsVPN,
O365-001 - Accessed files shared by temporary external user,This detection identifies an external user is added to a Team or Teams chat and shares a files which is accessed by many users (>10) and the users is removed within short period of time. This might be an indicator of suspicious activity.,Low,PT1H,PT1H,Threshold Own EXT tag.,95d47e4a-2044-45a5-85d2-49e4fc5efb24,Out of Box,Approved,OfficeActivity,
O365-002 - Executable file Uploaded to SharePoint or OneDrive,"This rule evaluates M365 activities when an executable file is uploaded to SharePoint or OneDrive. The rule searches for specific file extensions ('exe', 'inf', 'gzip', 'cmd', 'bat', 'ps1', 'msi'). The rule also considers where the file was uploaded, with variations being: - Anonymous Share on SharePoint / OneDrive - User OneDrive - Foreign OneDrive - SharePoint The rule records the start and end times of the event, the upload location, user details, the number of uploaded files, the URL location, IP address, and location. This rule enables efficient monitoring and response to potentially risky situations associated with uploading executable files on the M365 platform. This event may be signal a potential risk of creating a space for malware or other malicious activity. We recommend taking immediate steps to investigate and potentially eliminate the threat. Users should be informed of this event and take security measures, including password changes and monitoring for unusual activities.",Medium/High,PT1H,PT1H,Potentionaly: Threshold for reduce noise Add own file extensions.,spo1376b-ig11-1201-2024-e908d6mk1088,Custom,Approved,OfficeActivity,
O365-003 - Exchange AuditLog disabled,Identifies when the exchange audit logging has been disabled which may be an adversary attempt to evade detection or avoid other defenses.,Medium,PT1H,PT1H,NO.,9ce3056f-1abe-46c6-9c77-7250d5fa7346,Out of Box,Approved,OfficeActivity,
O365-004 - External user added and removed in short timeframe,This detection flags the occurances of external user accounts that are added to a Team and then removed within one hour.,Low,PT1H,PT1H,Optionally specify own EXT Tag.,d8f463c9-03fd-4514-bb62-8400d5ef4a10,Out of Box,Approved,OfficeActivity,
O365-005 - External user from a new organisation added to Teams,The rule identifies external users added to Teams where the user's domain is not one previously seen in Teams data.,Low,PT1H,PT1H,NO.,teams639-cf8f-2022-9e06-092320mk1088,Out of Box,Approved,OfficeActivity,
O365-006 - Multiple Objects Deleted from SPO,"The rule evaluates audit events from the OfficeActivity table in Microsoft 365 to identify potentially unauthorized deletion of multiple files, folders, or sites in SharePoint Online (SPO). The rule triggers when one of the following thresholds is met within a 2-hour period: - 100 or more files are deleted or recycled. - 20 or more folders are deleted or recycled. - Any single site is deleted or recycled. Alerts are also differentiated based on the operation type: - User moved objects to the Recycle Bin (typically retained for 93 days). - User deleted objects from the First Stage Recycle Bin. - Administrator permanently deleted objects from the Recycle Bin. - User permanently deleted objects (bypassing the Recycle Bin). These behaviors may indicate attempts to intentionally destroy data, disrupt operations, or cover malicious activities. They may also result from unintended user actions, both of which can lead to significant data loss. Alert Records: - Time: When the deletion activity started and ended. - Object Type: File, Folder, or Site. - Count: Number of deleted items. - Operation: The action performed, including the type and severity. - User: The user account performing the operation. - IP Address: Source IP address and geolocation. - Device: Managed or unmanaged status. - Samples: Examples of deleted object identifiers. Monitoring mass deletions in SharePoint Online is essential to ensure data integrity, detect potential malicious actions, and support data recovery efforts when needed.",Low,PT2H,PT2H,Optionally change thresholds.,spo365aa-c3p0-1403-2024-da6c0dmk1088,Custom,Approved,OfficeActivity,
O365-007 - Multiple User Mailboxes Forwarding to Same Destination,"The rule evaluates Exchange Online audit logs to identify instances where multiple (current threshold set to 2) users' mailboxes are configured to forward emails to the same destination. The alert records: - IP address and Location - Destination mail address - Number of affected Accounts - Affected Accounts with extended information This detection rule is designed to identify potential security threats where an attacker might have compromised multiple user accounts and configured their mailboxes to forward emails to an attacker-controlled destination. Such activities could lead to unauthorized access to sensitive email communications, resulting in the loss of confidential information and the compromise of multiple user accounts.",Medium,PT1H,P14D,NO.,exo90016-hk47-2002-2024-213650mk1088,Custom,Approved,OfficeActivity,
O365-008 - Multiple files downloaded from SPO or OneDrive,"The rule evaluates files download activities from SharePoint Online (SPO) and OneDrive. It considers several factors, including the number of downloaded files (threshold set at 100 files for SPO and 300 files for OneDrive), the type of device, whether it is a managed device, and if the download is from an anonymous link. The alert records: - User ID, IP Address, and Agent - Information about the used device - Sites - Samples of downloaded files This significant file download activity raises concerns about potential data exfiltration or unauthorized access. The large volume of downloaded files, combined with the involvement of a managed/unmanaged device or anonymous share, suggests a deliberate and potentially high-risk action. Immediate investigation is recommended to assess the nature and intent behind this operation, as it may pose a threat to the security of the Microsoft 365 environment. Additionally, monitoring for any abnormal data transfer patterns or further suspicious activities is advised to prevent potential data breaches.",Low,PT2H,P14D,Optionally change thresholds.,spo1b585-c3p0-2301-2024-175648mk1088,Custom,Approved,OfficeActivity,
O365-009 - Not allowed App added to MS Teams,"The rule monitors the status of applications in Microsoft Teams and provides information about their addition. The rule evaluates whether a new app has been added to MS Teams, which hasn't been used in the last 14 days, and also compares the status with the watchlist of 'Teams_Allowed_Applications' of apps in the organization environment. The incident records the identity of the caller, the name of the app, and whether it is allowed or app has been used in last 14 days.",Low,P1D,P14D,Wachtlist (Teams_Allowed_Applications).,teams02c-cb59-2022-ae65-9f8460mk1088,Custom,Approved,OfficeActivity,
O365-010 - Office Policy Tampering,"Identifies if any tampering is done to either auditlog, ATP Safelink, SafeAttachment, AntiPhish or Dlp policy. An adversary may use this technique to evade detection or avoid other policy based defenses. References: https://docs.microsoft.com/powershell/module/exchange/advanced-threat-protection/remove-antiphishrule?view=exchange-ps.",Medium,PT1H,PT1H,NO.,1160feb2-ca3a-4d20-8f98-3527f30e84f3,Out of Box,Approved,OfficeActivity,
O365-011 - Risky Exchange Online Administrative Operation,"This rule evaluates Exchange Online administrative audit events from the OfficeActivity table and correlates them with Microsoft Entra ID sign-in context from SigninLogs. The rule detects selected Exchange Online administrative operations that may affect mail flow, recipient impersonation, mailbox configuration, or Exchange administrative permissions. The monitored operations include recipient permission grants, Exchange Online management role assignments, transport rule creation or modification, and selected mailbox configuration changes. Monitored operations: - Add-RecipientPermission - New-ManagementRoleAssignment - New-TransportRule - Set-TransportRule - Set-Mailbox Alert records include: - Time of the Exchange Online administrative operation. - Initiating account that performed the operation. - Operation name and normalized target object. - Recipient permission details, including granted identity and access rights. - Exchange Online management role assignment details, including role, assignee type, assignee, and scope. - Transport rule or mailbox parameters changed by the operation. - Related sign-in context for the initiating account, including IP address, device information, and location where available. - Detection reason explaining the observed administrative change. These operations may be legitimate administrative activity, but they can also be abused to impersonate recipients, modify mail flow, assign Exchange administrative permissions, configure mailbox forwarding, or alter mailbox behavior. The rule provides operational visibility and prioritizes management role assignments as high severity and recipient permission grants as medium severity.",High / Medium / Low,PT1H,P14D,function (AzureAD_SignInLogs_functions).,exobbd1f-c3p0-2105-2023-1357d2mk1088,Custom,Approved,OfficeActivity,
O365-012 - Ransomware Activity Detection on SPO and OneDrive,"The rule evaluates audit events in Microsoft 365 (formally Office 365) and looks for activities matching a Ransomware attack on SharePoint Online (SPO) and OneDrive. It examines the quantity of deleted files and recently uploaded (thresholds) files with unfamiliar file extensions, or recognized ransomware file extensions. If such an event is detected, an alert is triggered. The alert records: - User - Caller IP Address - File extension - Current file count - Samples of files - Site URLs Monitoring potential ransomware activity on SharePoint Online (SPO) and OneDrive is crucial for several reasons. SPO and OneDrive often store sensitive and valuable data. Ransomware can encrypt this data, rendering it inaccessible. Early detection through monitoring can help ensure business continuity. Monitoring can help detect ransomware activity early, potentially preventing data loss.",Low/Medium,PT30M,PT2H,no.,o365a93a-c3p0-2703-2024-a7e114mk1088,Custom,Approved,OfficeActivity,
O365-013 - SharePoint Anonymous Share Link Created,"This rule evaluates Microsoft 365 audit events from the OfficeActivity table to identify the creation of anonymous sharing links in SharePoint Online or related Microsoft 365 workloads. The rule detects SharePoint sharing operations where an anonymous link was created. Anonymous links, also known as Anyone links, allow access to shared content without requiring user authentication and may increase the risk of unintended data exposure. Alert records: - Time when the anonymous sharing link was created. - Microsoft 365 workload where the operation occurred. - User who created the anonymous link. - Managed or unmanaged device indicator. - Source IP address and geolocation details. - SharePoint site URL and relative source path. - Sharing properties such as expiration date, anonymous access flag, share type, granted permissions, and password protection status. This activity may indicate risky external sharing behavior, misconfiguration, or unauthorized sharing performed after account compromise. The rule does not confirm data exfiltration by itself, but identifies creation of an anonymous access path that may enable unverified access to organizational content.",Low,PT1H,PT1H,NO.,spo365ab-r2d2-1101-2024-f23f53mk1088,Custom,no,OfficeActivity,
O365-014 - SharePoint Sharing Policy Modification at Tenant Level,"The rule evaluates OfficeActivity logs and detects changes made to the SharePoint Online (SPO) Sharing Policy at the Tenant level. SharePoint Online allows organizations to control how content is shared both internally and externally. Modifications to these policies, especially at the Tenant level, can have significant security implications. This rule aims to alert security teams when such changes occur, allowing for timely investigation and response. If the Sharing policy is changed, then an alert is generated and records the following: - Caller - Caller IP - Location - Managed device status - Modified Properties of Policy - Tenant ID Overall, this rule enhances the security posture of organizations utilizing SharePoint Online by proactively detecting and responding to unauthorized or unexpected changes in Sharing Policy settings at the Tenant level.",Low,PT1H,PT1H,NO.,spo51664-r2d2-1605-2024-456520mk1088,Custom,Approved,OfficeActivity,
